x_gk25,y_gk25,vuosi,autot
25495293,6677123,2021,46.45238095238095
25495293,6677123,2022,75.29761904761905
25495441,6673716,2015,250.03571428571428
25495441,6673716,2016,256.42857142857144
25495441,6673716,2017,160.8095238095238
25495441,6673716,2018,160.8095238095238
25495441,6673716,2019,186.11904761904762
25495441,6673716,2020,198.98809523809524
25495441,6673716,2021,231.22619047619048
25495441,6673716,2022,234.8095238095238
25495605,6678612,2015,176.91666666666666
25495605,6678612,2016,177.1547619047619
25495605,6678612,2017,153.5
25495605,6678612,2018,172.89285714285714
25495605,6678612,2019,174.92857142857142
25495605,6678612,2020,154.20238095238096
25495605,6678612,2021,161.9404761904762
25495605,6678612,2022,161.27380952380952
25495686,6673769,2015,248.88095238095238
25495686,6673769,2016,221.32142857142858
25495686,6673769,2017,255.88095238095238
25495686,6673769,2018,210.75
25495686,6673769,2019,217.29761904761904
25495686,6673769,2020,198.17857142857142
25495686,6673769,2021,145.21428571428572
25495686,6673769,2022,112.36904761904762
25495892,6675426,2015,383.2261904761905
25495892,6675426,2016,402.4404761904762
25495892,6675426,2017,352.54761904761904
25495892,6675426,2018,280.5238095238095
25495892,6675426,2019,325.2857142857143
25495892,6675426,2020,313.23809523809524
25495892,6675426,2021,307.25
25495892,6675426,2022,325.54761904761904
25495967,6676903,2015,229.73809523809524
25495967,6676903,2016,217.79761904761904
25495967,6676903,2017,215.14285714285714
25495967,6676903,2018,215.89285714285714
25495967,6676903,2019,221.29761904761904
25495967,6676903,2020,288.7142857142857
25495967,6676903,2021,281.9166666666667
25495967,6676903,2022,219.63095238095238
25496053,6673778,2015,52.714285714285715
25496053,6673778,2016,57.785714285714285
25496053,6673778,2017,51.857142857142854
25496053,6673778,2018,59.976190476190474
25496053,6673778,2019,58.19047619047619
25496053,6673778,2020,40.13095238095238
25496053,6673778,2021,49.75
25496053,6673778,2022,54.55952380952381
25496088,6673871,2015,364.2738095238095
25496088,6673871,2016,357.1904761904762
25496088,6673871,2017,324.35714285714283
